Index,Time,mtr.state.i_dq.v1,mtr.state.i_dq.v2,mtr.state.pos_spd_e.v1,mtr.state.pos_spd_e.v2
11497,11.496984,0.0515086651,-0.00310565345,4.47337627,1.01342216e-11
11498,11.497983,0.0525692217,-0.00318862312,4.47337627,1.21653729e-12
11499,11.498986,0.0501334071,-0.0002257952,4.47337627,1.46036178e-13
11500,11.499986,0.0505918264,-0.00118574779,4.47337627,1.75305479e-14
11501,11.500984,0.0484707244,-0.0010198052,4.47337627,2.10441079e-15
11502,11.501984,0.0354566649,-0.00369801,4.47337627,2.52618736e-16
11503,11.502986,0.0434298329,0.00953171216,4.48386288,9.42686272
11504,11.503986,0.0539433509,-0.0060785627,4.48408604,1.13162422
11505,11.504984,0.0444904119,0.00944836903,4.48408985,0.135843009
11506,11.505984,0.0499893054,-0.00207207794,4.48408985,0.0163069349
11507,11.506984,0.0458912179,9.75080766e-05,4.48408985,0.00195752527
11508,11.507998,0.0490728281,-0.00015200139,4.48408985,0.000234986233
11509,11.508984,0.0472659394,-0.0027826021,4.48408985,2.82083347e-05
11510,11.509986,0.0537732132,-0.00144471857,4.48408985,3.38619907e-06
11511,11.510986,0.0514820069,0.00335547049,4.48408985,4.064878e-07
11512,11.511984,0.0511939004,-0.000318340492,4.48408985,4.87958118e-08
11513,11.512984,0.0554621294,-0.00712177251,4.48408985,5.85757132e-09
11514,11.513986,0.0517963022,0.000549049582,4.49457455,9.42686272
11515,11.514986,0.0492171906,0.00167570449,4.49479771,1.13162422
11516,11.515984,0.0511938408,-0.000327911228,4.49480152,0.135843009
11517,11.516985,0.0514826365,0.00334584573,4.49480152,0.0163069349
11518,11.517985,0.050013788,-0.00855217781,4.49480152,0.00195752527
11519,11.518997,0.0486147404,0.000798948575,4.49480152,0.000234986233
11520,11.519986,0.0551471338,-0.00433513895,4.49480152,2.82083347e-05
11521,11.520984,0.0521099642,-0.00224815612,4.49480152,3.38619907e-06
11522,11.521984,0.052712176,-0.00138105149,4.50528812,9.42833138
11523,11.522986,0.0501332693,-0.000253917882,4.50551319,1.13180053
11524,11.523986,0.0498201326,0.0025431416,4.50551701,0.135864168
11525,11.524984,0.0504227579,0.00341978483,4.50551701,0.0163094755
11526,11.525984,0.0452886261,-0.00079629547,4.50551701,0.00195783027
11527,11.526986,0.0469517522,-3.21865082e-06,4.50551701,0.000235022846
11528,11.527986,0.0511937737,-0.000337485923,4.50551701,2.82127312e-05
11529,11.528982,0.0528569855,0.000445915386,4.5160017,9.42686653
11530,11.530000,0.050010588,-0.00857087784,4.51622486,1.1316247
11531,11.530984,0.0486150347,0.000780767994,4.51622868,0.135843068
11532,11.531986,0.046639137,0.00278512179,4.51622868,0.0163069423
11533,11.532986,0.0548104346,0.00491212122,4.51622868,0.0019575262
11534,11.533984,0.0523992889,0.00140599953,4.51622868,0.00023498635
11535,11.534984,0.0531696081,-0.00235141022,4.51622868,2.82083492e-05
11536,11.535986,0.0503007583,-0.00489723217,4.51622868,3.38620089e-06
11537,11.536982,0.0458912626,7.17665534e-05,4.51622868,4.06488027e-07
11538,11.537985,0.0510482267,-0.00219322415,4.52671528,9.42833138
11539,11.538985,0.049072694,-0.000188703882,4.52694035,1.13180053
11540,11.539982,0.0501331724,-0.000272666337,4.52694416,0.135864168
11541,11.540998,0.048157651,0.00173205673,4.52694416,0.0163094755
11542,11.541982,0.0467850789,0.00461319461,4.52694416,0.00195783027
11543,11.542985,0.05539307,0.0122490535,4.52694416,0.000235022846
11544,11.543985,0.0540842153,-0.00428211223,4.52694416,2.82127312e-05
11545,11.544982,0.0531904027,-0.00883212499,4.52694416,3.3867268e-06
11546,11.545982,0.0502786003,0.00156413065,4.52694416,4.06551152e-07
11547,11.546985,0.0507362373,0.000594463665,4.53743076,9.42686272
11548,11.547985,0.0533144958,-0.00053452421,4.53765202,1.13162422
11549,11.548998,0.050590463,-0.00124250539,4.53765774,0.135843009
11550,11.549982,0.0490726642,-0.000197881367,4.53765774,0.0163069349
11551,11.550985,0.0527113788,-0.00141083123,4.53765774,0.00195752527
11552,11.551996,0.0531687215,-0.00237129582,4.53765774,0.000234986233
11553,11.552985,0.0483237728,-0.00291095441,4.53765774,2.82083347e-05
11554,11.553982,0.0489268862,-0.00203464925,4.53765774,3.38619907e-06
11555,11.554984,0.0529828966,0.00873348117,4.53765774,4.064878e-07
11556,11.555986,0.04327555,0.0141170155,4.54814243,9.42686272
11557,11.556986,0.0500057712,-0.00859892834,4.54836369,1.13162422
11558,11.557982,0.0542099066,0.00400518021,4.54836941,0.135843009
11559,11.558986,0.0541910864,0.010475955,4.54836941,0.0163069349
11560,11.559982,0.0511935093,-0.000375774456,4.54836941,0.00195752527
11561,11.560986,0.0531682819,-0.00238123443,4.54836941,0.000234986233
11562,11.561983,0.0466406904,0.00275895651,4.54836941,2.82083347e-05
11563,11.562997,0.0484693497,-0.0010832462,4.54836941,3.38619907e-06
11564,11.563981,0.0555625781,0.00759430649,4.54836941,4.064878e-07
11565,11.564983,0.049072627,-0.000207055593,4.54836941,4.87958118e-08
11566,11.565982,0.0481771156,-0.00475673284,4.54836941,5.85757132e-09
11567,11.566982,0.0492187403,0.00162968738,4.54836941,7.03157532e-10
